id_user,lokasi,suhu,kelembapan,kategori_udara,kualitas_udara,timestamp
18,1,"Fakultas Farmasi",30.57,70,Sedang,14.66,"2025-12-03 14:41:01"
17,1,Perpustakaan,30.57,70,Sedang,14.66,"2025-12-03 14:40:59"
16,1,"Gedung B",30.57,70,Sedang,14.66,"2025-12-03 14:40:58"
15,1,"Gedung F",30.57,70,Sedang,14.66,"2025-12-03 14:40:57"
14,1,Rektorat,30.57,70,Sedang,14.66,"2025-12-03 14:40:55"
13,1,"Gedung A",30.57,70,Sedang,14.66,"2025-12-03 14:40:54"
12,1,"Fakultas Farmasi",30.57,70,Sedang,14.66,"2025-12-03 14:33:36"
11,1,Perpustakaan,30.57,70,Sedang,14.66,"2025-12-03 14:33:34"
10,1,"Gedung B",30.57,70,Sedang,14.66,"2025-12-03 14:33:32"
9,1,"Gedung F",30.57,70,Sedang,14.66,"2025-12-03 14:33:31"
8,1,Rektorat,30.57,70,Sedang,14.66,"2025-12-03 14:33:30"
7,1,"Gedung A",30.57,70,Sedang,14.66,"2025-12-03 14:33:28"
6,1,"Fakultas Farmasi",31.57,66,Sedang,15.42,"2025-12-03 14:16:08"
5,1,Perpustakaan,31.57,66,Sedang,15.42,"2025-12-03 14:16:07"
4,1,"Gedung B",31.57,66,Sedang,15.42,"2025-12-03 14:16:05"
3,1,"Gedung F",31.57,66,Sedang,15.42,"2025-12-03 14:16:04"
2,1,Rektorat,31.57,66,Sedang,15.42,"2025-12-03 14:16:02"
1,1,"Gedung A",31.57,66,Sedang,15.42,"2025-12-03 14:16:01"
