id_user,tanggal,suhu,nilai_polusi,lokasi
142,1,2025-11-30,28.97,7,"Gedung B"
145,1,2025-11-30,28.97,7,"Gedung A"
144,1,2025-11-30,28.97,7,"Fakultas Farmasi"
143,1,2025-11-30,28.97,7,Perpustakaan
141,1,2025-11-30,28.97,7,"Gedung F"
140,1,2025-11-30,28.97,7,Rektorat
139,1,2025-11-30,28.97,7,"Gedung A"
138,1,2025-11-30,28.97,7,"Fakultas Farmasi"
137,1,2025-11-30,28.97,7,Perpustakaan
136,1,2025-11-30,28.97,7,"Gedung B"
135,1,2025-11-30,28.97,7,"Gedung F"
134,1,2025-11-30,28.97,7,Rektorat
133,1,2025-11-30,28.97,7,"Gedung A"
162,1,2025-11-30,28.01,8,"Fakultas Farmasi"
146,1,2025-11-30,28.97,7,Rektorat
147,1,2025-11-30,28.97,7,"Gedung F"
148,1,2025-11-30,28.97,7,"Gedung B"
161,1,2025-11-30,28.01,8,Perpustakaan
160,1,2025-11-30,28.01,8,"Gedung B"
159,1,2025-11-30,28.01,8,"Gedung F"
158,1,2025-11-30,28.01,8,Rektorat
157,1,2025-11-30,28.01,8,"Gedung A"
156,1,2025-11-30,27.98,8,"Fakultas Farmasi"
155,1,2025-11-30,27.98,8,Perpustakaan
154,1,2025-11-30,27.98,8,"Gedung B"
149,1,2025-11-30,28.97,7,Perpustakaan
150,1,2025-11-30,28.97,7,"Fakultas Farmasi"
151,1,2025-11-30,27.98,8,"Gedung A"
152,1,2025-11-30,27.98,8,Rektorat
153,1,2025-11-30,27.98,8,"Gedung F"
132,1,2025-11-29,28.94,7,"Fakultas Farmasi"
121,1,2025-11-29,29.25,6,"Gedung A"
120,1,2025-11-29,29.25,6,"Fakultas Farmasi"
119,1,2025-11-29,29.25,6,Perpustakaan
118,1,2025-11-29,29.25,6,"Gedung B"
117,1,2025-11-29,29.25,6,"Gedung F"
116,1,2025-11-29,29.25,6,Rektorat
115,1,2025-11-29,29.25,6,"Gedung A"
123,1,2025-11-29,29.25,6,"Gedung F"
124,1,2025-11-29,29.25,6,"Gedung B"
122,1,2025-11-29,29.25,6,Rektorat
131,1,2025-11-29,28.94,7,Perpustakaan
130,1,2025-11-29,28.94,7,"Gedung B"
129,1,2025-11-29,28.94,7,"Gedung F"
128,1,2025-11-29,28.94,7,Rektorat
127,1,2025-11-29,28.94,7,"Gedung A"
126,1,2025-11-29,29.25,6,"Fakultas Farmasi"
125,1,2025-11-29,29.25,6,Perpustakaan
91,1,2025-11-28,30.82,5,"Gedung A"
92,1,2025-11-28,30.82,5,Rektorat
93,1,2025-11-28,30.82,5,"Gedung F"
94,1,2025-11-28,30.82,5,"Gedung B"
95,1,2025-11-28,30.82,5,Perpustakaan
96,1,2025-11-28,30.82,5,"Fakultas Farmasi"
90,1,2025-11-28,30.82,5,"Fakultas Farmasi"
89,1,2025-11-28,30.82,5,Perpustakaan
88,1,2025-11-28,30.82,5,"Gedung B"
87,1,2025-11-28,30.82,5,"Gedung F"
86,1,2025-11-28,30.82,5,Rektorat
85,1,2025-11-28,30.82,5,"Gedung A"
84,1,2025-11-28,30.82,5,"Fakultas Farmasi"
83,1,2025-11-28,30.82,5,Perpustakaan
82,1,2025-11-28,30.82,5,"Gedung B"
97,1,2025-11-28,30.34,6,"Gedung A"
98,1,2025-11-28,30.34,6,Rektorat
113,1,2025-11-28,30.11,8,Perpustakaan
112,1,2025-11-28,30.11,8,"Gedung B"
111,1,2025-11-28,30.11,8,"Gedung F"
110,1,2025-11-28,30.11,8,Rektorat
109,1,2025-11-28,30.11,8,"Gedung A"
108,1,2025-11-28,30.28,6,"Fakultas Farmasi"
107,1,2025-11-28,30.28,6,Perpustakaan
106,1,2025-11-28,30.28,6,"Gedung B"
105,1,2025-11-28,30.28,6,"Gedung F"
104,1,2025-11-28,30.28,6,Rektorat
103,1,2025-11-28,30.28,6,"Gedung A"
101,1,2025-11-28,30.34,6,Perpustakaan
100,1,2025-11-28,30.34,6,"Gedung B"
99,1,2025-11-28,30.34,6,"Gedung F"
114,1,2025-11-28,30.11,8,"Fakultas Farmasi"
81,1,2025-11-28,30.82,5,"Gedung F"
80,1,2025-11-28,30.82,5,Rektorat
102,1,2025-11-28,30.34,6,"Fakultas Farmasi"
79,1,2025-11-28,30.82,5,"Gedung A"
56,1,2025-11-27,29.7,8,Rektorat
49,1,2025-11-27,29.69,8,"Gedung A"
50,1,2025-11-27,29.69,8,Rektorat
51,1,2025-11-27,29.69,8,"Gedung F"
52,1,2025-11-27,29.69,8,"Gedung B"
53,1,2025-11-27,29.69,8,Perpustakaan
54,1,2025-11-27,29.69,8,"Fakultas Farmasi"
55,1,2025-11-27,29.7,8,"Gedung A"
48,1,2025-11-27,29.48,8,"Fakultas Farmasi"
47,1,2025-11-27,29.48,8,Perpustakaan
46,1,2025-11-27,29.48,8,"Gedung B"
41,1,2025-11-27,29.62,8,Perpustakaan
37,1,2025-11-27,29.62,8,"Gedung A"
38,1,2025-11-27,29.62,8,Rektorat
39,1,2025-11-27,29.62,8,"Gedung F"
40,1,2025-11-27,29.62,8,"Gedung B"
42,1,2025-11-27,29.62,8,"Fakultas Farmasi"
43,1,2025-11-27,29.48,8,"Gedung A"
44,1,2025-11-27,29.48,8,Rektorat
45,1,2025-11-27,29.48,8,"Gedung F"
57,1,2025-11-27,29.7,8,"Gedung F"
58,1,2025-11-27,29.7,8,"Gedung B"
70,1,2025-11-27,29.26,10,"Gedung B"
